 burst ID delayed:age delayed:massformed delayed:metallicity delayed:tau dust:Av nebular:logU redshift stellar_mass formed_mass sfr ssfr nsfr mass_weighted_age tform tquench mass_weighted_zmet chisq_phot continuum
105 0.3 1048333 0.01109 7.92725 0.62831 6.53886 0.23412 -3.44735 3.56481 7.90863 7.92725 0.84821 -7.98098 1.24085 0.00381 1.73158 99.0 0.6275 61.35894 1.4630000000000002e-19
106 0.3 1048585 0.01078 8.40798 0.21945 7.19887 0.62238 -2.47411 2.30617 8.39259 8.40798 2.56583 -7.98359 1.44819 0.00372 2.79462 99.0 0.21941 69.62639 5.7796e-19
107 0.3 1048923 0.01035 7.93986 1.81181 7.08964 0.03368 -1.1912 3.39139 7.91997 7.93986 0.87319 -7.97843 1.26587 0.00357 1.83561 99.0 1.8068 220.19134 3.0378e-19
108 0.02 1049118 0.34911 9.70065 0.38373 8.25902 0.68277 -3.62705 3.81557 9.57297 9.70065 22.24316 -8.18535 0.90394 0.11773 1.49748 99.0 0.38372 38.57572 1.7816000000000002e-19
109 0.3 1049196 0.01026 7.96053 0.39398 7.12182 1.05994 -2.89356 2.04631 7.9461 7.96053 0.91576 -7.98406 1.50029 0.00354 3.1517 99.0 0.39396 169.48205 1.0694000000000001e-19
110 0.3 1049219 0.01015 8.88495 1.96446 7.04343 0.97564 -1.02517 3.9968 8.86426 8.88495 7.69492 -7.97827 1.18236 0.00351 1.51394 99.0 1.95994 856.81878 1.3426e-19
111 0.01 1049710 0.79839 9.86127 0.05277 7.69969 1.41052 -1.76403 1.66608 9.69615 9.86127 16.8561 -8.47926 0.93608 0.27257 3.53565 99.0 0.05313 21.1079 2.5844000000000003e-19
112 0.3 1049850 0.01038 8.66009 1.9762 7.04174 0.19092 -1.01698 3.99581 8.63823 8.66009 4.58499 -7.97772 1.18249 0.00358 1.51421 99.0 1.97172 376.2962 6.453500000000001e-19
113 0.3 1049950 0.01029 8.28914 0.54431 7.38732 0.58931 -3.51135 3.14375 8.27317 8.28914 1.95159 -7.98322 1.30331 0.00355 2.0012 99.0 0.54368 308.12135 1.9790000000000002e-19
114 0.24 1050092 0.02343 8.79768 0.43636 7.67769 0.69934 -2.21981 2.83914 8.75638 8.79768 6.29405 -7.96272 1.35187 0.00787 2.2334 99.0 0.43612 31.31159 4.3551e-19
115 0.3 1050106 0.01013 8.74923 1.95985 8.20427 0.00872 -1.02818 3.97995 8.72883 8.74923 5.62962 -7.97832 1.18455 0.0035 1.5216 99.0 1.95528 475.82536 1.3351e-18
116 0.0 1050205 1.99704 11.63948 1.02272 8.34144 1.36305 -2.23003 2.3507 11.43979 11.63948 387.33199 -8.8587 0.38265 0.70334 2.01466 99.0 1.02231 5.71016 1.8139e-18
117 0.29 1050351 0.01328 8.35401 0.11298 7.07604 0.90641 -3.72799 3.68814 8.32908 8.35401 2.266 -7.9783 1.22359 0.00452 1.66292 99.0 0.11308 132.98044 5.1418e-20
118 0.26 1050536 0.02045 7.66361 0.03261 6.9361 0.03727 -3.42517 3.62454 7.6284 7.66361 0.46224 -7.96703 1.23176 0.00688 1.69068 99.0 0.03264 56.26349 9.4167e-20
119 0.1 1050542 0.08561 7.33959 0.07373 6.86105 0.11515 -3.04255 3.58832 7.3085 7.33959 0.21067 -7.97966 1.21751 0.02864 1.69235 99.0 0.07381 123.92505 3.6765e-20
120 0.01 1050556 0.78763 9.04265 0.22247 7.00437 0.39446 -3.37947 3.68245 8.88025 9.04265 2.58136 -8.47921 0.57464 0.26751 1.39242 99.0 0.22251 48.86964 4.3781e-20
121 0.3 1050807 0.0119 8.06125 1.66157 6.71495 0.16833 -1.53124 3.78803 8.0382 8.06125 1.15479 -7.97563 1.20999 0.00407 1.61324 99.0 1.65597 145.90777 1.6080000000000002e-19
122 0.3 1050917 0.01022 8.01076 0.24261 7.72357 0.30443 -1.56509 2.60046 7.99717 8.01076 1.02805 -7.98481 1.39366 0.00353 2.46488 99.0 0.24253 208.92782 3.8680000000000003e-19
123 0.0 1051013 1.34366 10.33281 0.65401 8.37984 0.36894 -1.54485 2.70053 10.15206 10.33281 29.01927 -8.68939 0.50507 0.46174 1.90423 99.0 0.65543 29.11944 1.2259e-18
124 0.03 1051161 0.23414 8.63034 1.07509 7.42273 0.145 -2.05569 3.92089 8.5154 8.63034 2.57261 -8.05731 1.02348 0.07863 1.47977 99.0 1.07378 17.83974 7.5626e-20
125 0.28 1051528 0.01611 8.82864 0.64031 7.04937 1.03084 -3.43566 3.14915 8.80068 8.82864 6.75919 -7.97072 1.30243 0.00545 1.99395 99.0 0.63934 18.98641 1.663e-19
126 -0.02 1051919 2.08756 9.82937 0.02362 0.39088 0.37825 -2.7011 1.68716 9.57074 9.82937 0.59032 -9.7979 -0.46979 1.34098 2.43963 99.0 0.02371 34.13325 1.4717e-19
127 0.3 1052345 0.01078 7.79109 0.82026 7.24119 0.01722 -3.55543 3.48065 7.77342 7.79109 0.61993 -7.98088 1.25288 0.00371 1.7809 99.0 0.8195 100.3583 2.0790000000000002e-19
